ID,Function,Date,Start Time,End Time,Category,Coordinator,Location,Status,Notes,Show on Website
1782257683007,Spring Break Begins,2027-03-15,,,Holiday,Unassigned,,Confirmed,,Yes
1782257744488,PTA Meeting,2027-03-23,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257692662,Spring Dance,2027-03-26,18:00,,Fundraiser E,Rita Macias,Cafeteria,Confirmed,,Yes
1782257688923,School Play,2027-04-02,,,CSE Event,Unassigned,Cafeteria,Confirmed,,Yes
1782257676504,PTA Bike Ride,2027-04-09,17:30,,Event F-2,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257647754,PTA Meeting,2027-04-20,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257658926,Professional Day � No School,2027-04-23,,,Holiday,Unassigned,,Confirmed,,Yes
1782257677348,Spring Concert (PTA General Meeting) Elections,2027-04-29,,,CSE Event,David Nowell,,Confirmed,,Yes
1782257707718,Teacher Appreciation Week,2027-05-03,,,CSE Event,Unassigned,,Confirmed,,Yes
1782257665865,PTA Bike Ride,2027-05-14,17:30,,Event F-3,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257691388,PTA End of School Dinner - Appetizers,2027-05-16,17:00,,Meeting,Unassigned,Media Room,Confirmed,,No
1782257731646,Last Day of School,2027-05-26,,,Holiday,Unassigned,,Confirmed,,Yes
1782257665167,Memorial Day,2027-05-31,,,Holiday,Unassigned,,Confirmed,,Yes
1782257688850,Flocabulary,2027-07-01,,,Event G-1,Unassigned,,Confirmed,,No
